,AGED_logFC,AGED_FDR_p,APP_logFC,APP_FDR_p,ERCC1_logFC,ERCC1_FDR_p,SOD1_logFC,SOD1_FDR_p,LPS_LogFC,LPS_FDR_P
TPM4,0.46350295,0.007602461,0.708983407,0.000174037,0.242214657,0.026782738,2.063899993,0.014017434,0.979768838,1.42E-06
NOS1AP,-0.043880873,0.722317075,-0.425899321,0.004762185,-0.177822335,0.42775942,-1.551711321,0.014248926,0.135505345,0.540877437
MS4A4B,0.013492528,0.756568652,0.5758075,0.128194454,0.013409359,0.897074367,4.323742835,0.014884289,0.056195154,0.542894297
PFKP,-0.060683533,0.563158049,-0.011275643,0.966399612,0.128378781,0.543940286,3.241969545,0.014884289,0.057768774,0.657040688
KLF2,-0.005971458,0.972467638,-1.668420194,4.71E-07,-0.052902339,0.841716671,-1.259645828,0.015015892,-0.144867238,0.461760194
STAMBPL1,-0.118388022,0.645167199,-0.502335009,0.002009417,-0.400614404,0.012855847,-1.310674371,0.015534464,-0.438063777,0.000912928
TLR2,0.822465314,5.83E-08,1.606855476,1.88E-07,0.971373489,9.56E-08,1.898815755,0.015993766,2.532087733,3.37E-09
FSCN1,-0.09846164,0.172186859,-0.284041606,0.018763877,-0.413828877,0.014888624,-1.368259107,0.016042693,-0.18882625,0.275298471
TMPRSS3,-0.028380807,0.613095568,-0.221332388,0.473121673,0.022449065,0.837627506,7.868505925,0.016076501,-0.027977496,0.713041512
DLK2,-0.007899983,0.93295442,0.005348489,0.989556192,-0.092483697,0.635526854,-3.510755979,0.016164893,0.010735478,0.949952982
MPP1,0.042137419,0.731574942,0.392042769,0.00017787,0.239112936,0.017219087,1.929739568,0.016689279,-0.204089066,0.231631416
TMED3,0.02382857,0.947502542,0.765467498,3.95E-07,0.099845295,0.586268895,1.953972187,0.016724791,-0.254987123,0.655939784
DDHD1,0.094630383,0.286384684,0.399018673,1.34E-05,-0.017751096,0.960916524,1.754496387,0.016761437,0.181390071,0.005238176
