"genes","Freq","Arf1_IFNg_KO.h5","Arf1_KO.h5","IFNg_KO.h5","WT.h5","regulation","Arf1.vs.all"
"Hspa1b",7,3.0361837135519,2.78992581023038,3.77965260545906,4.60175833757175,"down-regulated","down-regulated"
"Ighm",7,0.630684393412902,0.484966809839906,0.554058844381425,0.80425779263242,"down-regulated","down-regulated"
"Itm2b",7,10.2503399305031,9.16829363529871,8.76221198156682,10.1316573421492,"down-regulated","notAll"
"Laptm5",7,5.00543888804955,4.27931797474945,4.55008862105636,5.25052677468575,"down-regulated","down-regulated"
"Lgals3bp",7,0.386840912524551,0.856566445398933,0.166253101736973,0.341931264985832,"up-regulated","up-regulated"
"Lpcat2",7,1.51692098504306,1.2884289990889,1.43169088975541,1.76393228220591,"down-regulated","down-regulated"
"Lst1",7,0.44757516241124,0.257972146297019,0.366678482807515,0.513914117561578,"down-regulated","down-regulated"
"Malat1",7,59.6643752832754,48.2056488350905,59.3990783410138,57.8017874010027,"down-regulated","down-regulated"
"mt-Nd1",7,5.19300498564738,6.36470128855916,5.53562566465792,4.32827145244496,"up-regulated","up-regulated"
"Rpl9",7,1.91176914941834,2.28192112456072,1.71868131868132,1.67027537600814,"up-regulated","up-regulated"
"Rps19",7,3.19700861157275,4.12143693869582,2.60042538107054,2.93889413645281,"up-regulated","up-regulated"
"Rpsa",7,3.23145490255326,4.17363009241182,2.66260191421482,2.80316791397224,"up-regulated","up-regulated"
"S100a8",7,0.634008158332074,0.253807106598985,0.937752570010635,0.772142701445906,"down-regulated","down-regulated"
"Siglech",7,2.01979150929143,1.56462319406482,1.8811768876285,2.19741335464652,"down-regulated","down-regulated"
"Slc2a5",7,0.122903761897568,0.281010022126773,0.0533144275079759,0.612221172709438,"down-regulated","notAll"
"Xist",7,0.039885179030065,4.02668228556553,0.028287841191067,4.75543122865654,"down-regulated","notAll"
"Adgrg1",6,0.643903912977791,0.450865547312248,0.718468628146048,0.739809634527356,"down-regulated","down-regulated"
"Aif1",6,1.55121619579997,1.26942600546661,1.4110599078341,1.76451355082467,"down-regulated","down-regulated"
"Cebpb",6,1.25094425139749,1.75348171287258,1.42963488124778,1.06023396061905,"up-regulated","up-regulated"
"Cltc",6,0.518658407614443,0.4992841338019,0.493938319744771,0.690474460510063,"down-regulated","notAll"
"Eef1a1",6,8.17177821423176,9.40075491344527,6.97199574618929,6.84843420765821,"up-regulated","up-regulated"
"Enpp2",6,0.304275570327844,0.518807757386438,0.450336760014179,0.241371793940275,"up-regulated","up-regulated"
"Fkbp5",6,0.103263332829733,0.218794741637381,0.199078341013825,0.066700574002761,"up-regulated","up-regulated"
"Fscn1",6,0.664828523946215,0.463881296368606,0.543069833392414,0.734796192690547,"down-regulated","down-regulated"
"Gm47283",6,0.159918416679257,0.169595210204347,0.244097837646225,0.0746930175107171,"up-regulated","notAll"
"Gpr34",6,2.52032029007403,1.73799297149551,2.47507975895073,2.46835718956623,"down-regulated","down-regulated"
"Guk1",6,0.107569119202296,0.235064427957829,0.0906061680255229,0.0919131003414953,"up-regulated","up-regulated"
"Hexa",6,2.69255174497658,1.82663022256931,2.4907479617157,2.24158976967231,"down-regulated","down-regulated"
"Hsp90aa1",6,7.84604925215289,9.59195626708317,9.59666784828075,11.8464724260699,"down-regulated","notAll"
"Hsph1",6,0.690134461399003,0.620721072497722,0.781070542360865,1.25517692363584,"down-regulated","down-regulated"
"Ifi27l2a",6,0.359948632723976,0.654952492515944,0.131088266572138,0.257574656688222,"up-regulated","up-regulated"
"Macf1",6,0.594727300196404,0.519328387348692,0.578660049627792,0.740536220300806,"down-regulated","down-regulated"
"mt-Cytb",6,8.08792869013446,10.8281921124561,8.63374689826303,7.36133110513696,"up-regulated","up-regulated"
"mt-Nd4",6,5.01102885632271,5.93218794741637,5.17887274016306,4.23563176633002,"up-regulated","up-regulated"
"P2ry13",6,0.884348088835171,0.710920213458284,0.875363346331088,1.14422727602994,"down-regulated","down-regulated"
"Plxdc2",6,1.02069799063303,0.95965117792529,0.893583835519319,1.33350287001381,"down-regulated","notAll"
